man,woman,value
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
1,2,0
2,2,9
3,2,30
4,2,11
5,2,4
6,2,0
7,2,1
8,2,0
9,2,0
10,2,0
11,2,0
1,3,0
2,3,7
3,3,80
4,3,118
5,3,33
6,3,17
7,3,6
8,3,4
9,3,0
10,3,1
11,3,1
1,4,0
2,4,1
3,4,20
4,4,123
5,4,132
6,4,56
7,4,23
8,4,9
9,4,5
10,4,2
11,4,0
1,5,0
2,5,0
3,5,4
4,5,35
5,5,151
6,5,152
7,5,39
8,5,17
9,5,5
10,5,1
11,5,1
1,6,0
2,6,0
3,6,0
4,6,11
5,6,31
6,6,193
7,6,165
8,6,62
9,6,16
10,6,6
11,6,0
1,7,0
2,7,0
3,7,0
4,7,3
5,7,10
6,7,46
7,7,273
8,7,181
9,7,47
10,7,22
11,7,0
1,8,0
2,8,0
3,8,0
4,8,0
5,8,4
6,8,7
7,8,52
8,8,188
9,8,126
10,8,27
11,8,2
1,9,0
2,9,0
3,9,0
4,9,0
5,9,0
6,9,4
7,9,5
8,9,30
9,9,103
10,9,64
11,9,2
1,10,0
2,10,0
3,10,0
4,10,0
5,10,2
6,10,0
7,10,3
8,10,8
9,10,18
10,10,62
11,10,9
1,11,0
2,11,0
3,11,0
4,11,0
5,11,1
6,11,0
7,11,0
8,11,1
9,11,0
10,11,7
11,11,14
